ID,Year,Month,Day,X,Date_,Hour,Minute,Second,Time_,Date,Spacecraft,Chave,Gaps
1160,2009,2,15,02/15/2009,02/15/2009,0,0,0,12:00:00 AM,2009-02-15 00:00:00,STB,2009215000STB,
1166,2009,2,16,02/16/2009,02/16/2009,0,0,0,12:00:00 AM,2009-02-16 00:00:00,STB,2009216000STB,
1178,2009,7,20,07/20/2009,07/20/2009,0,0,0,12:00:00 AM,2009-07-20 00:00:00,STB,2009720000STB,
1183,2009,8,3,08/03/2009,08/03/2009,0,0,0,12:00:00 AM,2009-08-03 00:00:00,STB,200983000STB,
1186,2009,8,4,08/04/2009,08/04/2009,0,0,0,12:00:00 AM,2009-08-04 00:00:00,STB,200984000STB,
1195,2009,8,8,08/08/2009,08/08/2009,0,0,0,12:00:00 AM,2009-08-08 00:00:00,STB,200988000STB,
1198,2009,8,9,08/09/2009,08/09/2009,0,0,0,12:00:00 AM,2009-08-09 00:00:00,STB,200989000STB,
1201,2009,8,10,08/10/2009,08/10/2009,0,0,0,12:00:00 AM,2009-08-10 00:00:00,STB,2009810000STB,
1204,2009,8,11,08/11/2009,08/11/2009,0,0,0,12:00:00 AM,2009-08-11 00:00:00,STB,2009811000STB,
1205,2009,8,11,08/11/2009,08/11/2009,3,0,0,3:00:00 AM,2009-08-11 03:00:00,STB,2009811300STB,
1207,2009,8,12,08/12/2009,08/12/2009,0,0,0,12:00:00 AM,2009-08-12 00:00:00,STB,2009812000STB,
1210,2009,8,13,08/13/2009,08/13/2009,0,0,0,12:00:00 AM,2009-08-13 00:00:00,STB,2009813000STB,
1213,2009,8,14,08/14/2009,08/14/2009,0,0,0,12:00:00 AM,2009-08-14 00:00:00,STB,2009814000STB,
1216,2009,8,15,08/15/2009,08/15/2009,0,0,0,12:00:00 AM,2009-08-15 00:00:00,STB,2009815000STB,
1219,2009,8,16,08/16/2009,08/16/2009,0,0,0,12:00:00 AM,2009-08-16 00:00:00,STB,2009816000STB,
1222,2009,8,17,08/17/2009,08/17/2009,0,0,0,12:00:00 AM,2009-08-17 00:00:00,STB,2009817000STB,
1234,2009,8,20,08/20/2009,08/20/2009,0,0,0,12:00:00 AM,2009-08-20 00:00:00,STB,2009820000STB,
1237,2009,8,21,08/21/2009,08/21/2009,0,0,0,12:00:00 AM,2009-08-21 00:00:00,STB,2009821000STB,
1240,2009,10,3,10/03/2009,10/03/2009,0,0,0,12:00:00 AM,2009-10-03 00:00:00,STB,2009103000STB,
1243,2009,10,5,10/05/2009,10/05/2009,0,0,0,12:00:00 AM,2009-10-05 00:00:00,STB,2009105000STB,
1246,2009,10,6,10/06/2009,10/06/2009,0,0,0,12:00:00 AM,2009-10-06 00:00:00,STB,2009106000STB,
139,2010,10,22,10/22/2010,10/22/2010,1,0,0,1:00:00 AM,2010-10-22 01:00:00,STA,20101022100STA,24
281,2012,7,25,07/25/2012,07/25/2012,5,0,0,5:00:00 AM,2012-07-25 05:00:00,STA,2012725500STA,30
418,2013,6,6,06/06/2013,06/06/2013,4,0,0,4:00:00 AM,2013-06-06 04:00:00,STA,201366400STA,26
891,2017,9,4,09/04/2017,09/04/2017,17,0,0,5:00:00 PM,2017-09-04 17:00:00,STA,2017941700STA,36
955,2017,8,1,08/01/2017,08/01/2017,9,0,0,9:00:00 AM,2017-08-01 09:00:00,STA,201781900STA,34
972,2017,8,18,08/18/2017,08/18/2017,2,0,0,2:00:00 AM,2017-08-18 02:00:00,STA,2017818200STA,21
1018,2017,6,30,06/30/2017,06/30/2017,18,0,0,6:00:00 PM,2017-06-30 18:00:00,STA,20176301800STA,24
1043,2012,11,3,11/03/2012,11/03/2012,5,0,0,5:00:00 AM,2012-11-03 05:00:00,STA,2012113500STA,26
138,2010,10,29,10/29/2010,10/29/2010,23,0,0,11:00:00 PM,2010-10-29 23:00:00,STA,201010292300STA,
142,2010,10,9,10/09/2010,10/09/2010,4,0,0,4:00:00 AM,2010-10-09 04:00:00,STA,2010109400STA,
223,2012,3,2,03/02/2012,03/02/2012,16,0,0,4:00:00 PM,2012-03-02 16:00:00,STA,2012321600STA,
519,2014,1,1,01/01/2014,01/01/2014,13,0,0,1:00:00 PM,2014-01-01 13:00:00,STA,2014111300STA,
641,2014,10,7,10/07/2014,10/07/2014,20,0,0,8:00:00 PM,2014-10-07 20:00:00,STA,20141072000STA,
875,2017,8,19,08/19/2017,08/19/2017,1,0,0,1:00:00 AM,2017-08-19 01:00:00,STA,2017819100STA,
1,2007,2,7,02/07/2007,02/07/2007,1,0,0,1:00:00 AM,2007-02-07 01:00:00,STA,200727100STA,
