ID,Year,Month,Day,Date_,Hour,Minute,Second,Time_,Date,Spacecraft_,Spacecraft,Type_ipshock,Origem,Chave,Repete?,Accept,Gap
1916,2010,11,7,40489,19,5,5,"0,7951967593","40489,7952",STEREO-B,STB,FF,IPShock,20101171955STEREO-B,,0,1
1917,2010,11,7,40489,19,52,16,"0,827962963","40489,82796",STEREO-B,STB,FF,IPShock,2010117195216STEREO-B,,0,1
148000000,2010,11,16,40498,19,26,0,"0,8097222222","40498,80972",STEREO-A,STA,FR,SSC,2010111619260STEREO-A,,0,1
1920,2010,12,4,40516,0,10,20,"0,007175925926","40516,00718",STEREO-A,STA,FF,IPShock,201012401020STEREO-A,,0,1
157000000,2011,1,25,40568,0,6,27,"0,004479166667","40568,00448",STEREO-A,STA,FR,SSC,20111250627STEREO-A,,0,1
1939,2011,2,26,40600,8,29,19,"0,3536921296","40600,35369",STEREO-B,STB,FF,IPShock,201122682919STEREO-B,,0,1
1940,2011,2,26,40600,8,46,56,"0,3659259259","40600,36593",STEREO-B,STB,FF,IPShock,201122684656STEREO-B,,0,1
1945,2011,3,11,40613,3,51,38,"0,1608564815","40613,16086",STEREO-B,STB,FF,IPShock,201131135138STEREO-B,,0,1
1950,2011,3,21,40623,18,42,8,"0,7792592593","40623,77926",STEREO-B,STB,FF,IPShock,201132118428STEREO-B,,0,1
1956,2011,3,31,40633,23,38,51,"0,9853125","40633,98531",STEREO-B,STB,FF,IPShock,2011331233851STEREO-B,,0,1
169000000,2011,4,9,40642,13,39,33,"0,5691319444","40642,56913",STEREO-A,STA,FR,SSC,201149133933STEREO-A,,0,1
1966,2011,4,24,40657,11,7,20,"0,4634259259","40657,46343",STEREO-B,STB,FR,IPShock,201142411720STEREO-B,,0,1
1968,2011,5,12,40675,4,45,0,"0,1979166667","40675,19792",STEREO-B,STB,FF,IPShock,20115124450STEREO-B,,0,1
175000000,2011,5,12,40675,4,45,7,"0,1979976852","40675,198",STEREO-B,STB,FF,SSC,20115124457STEREO-B,,0,1
1971,2011,6,1,40695,7,25,26,"0,3093287037","40695,30933",STEREO-B,STB,FF,IPShock,20116172526STEREO-B,,0,1
1972,2011,6,4,40698,18,48,49,"0,783900463","40698,7839",STEREO-A,STA,FR,IPShock,201164184849STEREO-A,,0,1
1975,2011,6,5,40699,18,59,0,"0,7909722222","40699,79097",STEREO-A,STA,FF,IPShock,20116518590STEREO-A,,0,1
180000000,2011,6,12,40706,0,2,24,"0,001666666667","40706,00167",STEREO-A,STA,FR,SSC,20116120224STEREO-A,,0,1
1988,2011,7,4,40728,23,12,0,"0,9666666667","40728,96667",STEREO-B,STB,FF,IPShock,20117423120STEREO-B,,0,1
